Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,SoilType,WildernessArea,Average_Hillshade
2348,108,12,228,41,1019,987,3,4,192.66666666666666
2316,110,16,150,29,1165,992,3,4,188.66666666666666
2311,292,23,90,30,1430,722,10,4,197.66666666666666
2365,267,23,42,6,1355,365,10,4,206.33333333333334
2419,331,16,212,-1,1087,108,10,4,191.66666666666666
2459,233,12,170,9,908,108,2,4,212.66666666666666
2467,212,6,134,17,849,162,2,4,209.66666666666666
2445,111,21,95,23,730,277,1,4,181.33333333333334
2351,63,13,0,0,495,514,2,4,186.0
2536,339,3,324,53,153,1890,6,4,202.0
2512,113,5,30,0,255,1655,6,4,200.66666666666666
2505,321,3,30,-4,324,1622,6,4,203.66666666666666
2447,301,18,210,95,685,1187,6,4,199.33333333333334
2367,57,16,0,0,760,1114,10,4,178.0
2361,29,19,0,0,765,1116,10,4,173.33333333333334
2470,190,8,240,36,633,1357,6,4,209.0
2367,356,7,0,0,711,1537,11,4,197.66666666666666
2425,0,11,503,81,853,1348,10,4,192.33333333333334
2373,130,27,350,79,418,997,3,4,178.0
2361,129,28,323,67,390,977,3,4,175.33333333333334
3376,16,4,218,-1,4357,3952,40,1,199.66666666666666
3064,351,19,42,17,2118,3310,22,1,181.66666666666666
2881,4,7,30,4,2483,234,23,3,197.0
2349,74,14,201,42,1012,977,3,4,184.0
2356,350,23,30,10,1448,459,10,4,175.33333333333334
2401,264,18,67,23,1269,285,10,4,209.33333333333334
2428,349,15,150,22,1150,175,6,4,188.0
2427,353,18,170,6,1120,150,6,4,183.33333333333334
2375,86,16,0,0,589,430,1,4,182.66666666666666
2494,21,7,306,51,67,1716,6,4,196.33333333333334
2531,96,9,297,48,120,1880,6,4,195.66666666666666
2526,126,2,258,43,95,1848,6,4,203.66666666666666
2517,84,6,67,5,212,1694,6,4,197.0
2388,65,21,0,0,722,1140,10,4,169.33333333333334
2379,39,17,0,0,726,1142,10,4,176.0
2376,21,20,30,2,730,1144,10,4,172.33333333333334
2378,308,20,108,39,769,1165,10,4,195.33333333333334
2465,169,10,212,31,607,1365,6,4,206.66666666666666
2373,336,10,0,0,685,1507,11,4,197.0
2376,340,13,30,9,700,1511,11,4,193.0
2383,328,20,90,18,732,1519,11,4,188.0
2401,334,18,180,52,787,1536,11,4,188.33333333333334
2424,328,17,360,80,914,1492,10,4,191.33333333333334
3238,297,25,481,95,1840,3276,29,1,193.66666666666666
3309,357,14,306,82,1697,2821,39,1,187.66666666666666
2889,299,12,30,8,2525,170,23,3,203.33333333333334
2408,105,17,283,110,859,825,3,4,184.66666666666666
2286,71,17,0,0,1332,819,17,4,178.66666666666666
2352,327,17,153,71,1511,641,10,4,191.66666666666666
2363,345,23,95,28,1511,524,10,4,175.33333333333334
2387,277,17,30,9,1302,323,10,4,207.0
2441,282,10,190,-8,977,124,6,4,207.0
2400,68,19,0,0,655,379,1,4,173.33333333333334
2390,55,21,0,0,626,408,1,4,167.66666666666666
2498,324,2,335,55,42,1698,6,4,203.33333333333334
2524,24,3,283,41,67,1873,6,4,201.0
2393,49,19,0,0,693,1170,10,4,172.0
2383,7,22,85,22,721,1184,10,4,171.66666666666666
2406,329,18,153,45,745,1500,11,4,189.33333333333334
2436,344,15,391,92,918,1482,10,4,188.66666666666666
2431,45,12,601,87,755,1308,10,4,187.0
2273,101,21,134,22,201,916,3,4,177.33333333333334
3377,26,10,295,0,4325,3869,40,1,190.33333333333334
3376,1,11,295,77,4298,3852,40,1,192.33333333333334
3318,8,15,408,91,1761,3004,39,1,184.66666666666666
2886,20,6,30,1,2458,201,23,3,197.0
2385,357,25,42,14,1426,446,10,4,167.66666666666666
2409,283,18,42,3,1248,283,10,4,204.66666666666666
2449,4,15,175,11,1071,162,6,4,185.33333333333334
2414,45,19,0,0,690,362,1,4,172.0
2409,36,23,0,0,660,390,1,4,164.66666666666666
2535,273,4,331,31,60,1998,6,4,206.66666666666666
2409,64,20,0,0,661,1200,10,4,172.0
2466,315,16,247,14,649,1292,10,4,196.66666666666666
2407,104,16,85,23,569,1440,6,4,187.0
2413,314,13,162,48,722,1471,11,4,200.0
2304,99,20,201,10,277,990,3,4,179.0
2275,75,19,124,8,190,942,3,4,175.0
3081,344,19,30,14,2105,3248,22,1,183.66666666666666
2982,96,15,242,43,350,2072,32,3,186.33333333333334
2344,109,11,95,37,1057,1012,3,4,195.33333333333334
2406,326,18,0,0,1283,324,10,4,190.66666666666666
2413,308,20,30,7,1253,300,10,4,195.33333333333334
2444,295,16,85,6,1165,234,10,4,202.33333333333334
2455,351,16,180,5,990,182,6,4,187.0
2444,75,15,0,0,780,300,1,4,182.33333333333334
2465,319,21,228,13,642,1310,10,4,189.33333333333334
2479,33,5,190,35,577,1356,6,4,198.33333333333334
2381,40,4,0,0,577,1413,6,4,199.66666666666666
2386,337,10,0,0,592,1415,11,4,196.33333333333334
2456,14,17,518,112,841,1416,6,4,179.33333333333334
2960,328,3,127,14,1448,283,23,3,203.33333333333334
2388,313,17,170,31,1554,579,10,4,196.0
2463,358,16,182,13,990,212,6,4,184.66666666666666
2519,311,13,382,15,90,1749,6,4,200.0
2531,327,10,295,27,90,1879,6,4,199.33333333333334
2428,339,23,212,67,671,1289,10,4,179.0
2433,328,23,234,79,685,1295,10,4,183.33333333333334
2439,125,16,90,5,484,1401,6,4,193.33333333333334
2433,193,12,90,0,480,1392,6,4,210.66666666666666
2432,147,16,90,2,484,1385,6,4,198.66666666666666
2384,65,7,0,0,537,1381,6,4,195.66666666666666
2384,333,10,0,0,551,1383,11,4,198.33333333333334
2399,292,12,124,28,638,1401,11,4,205.0
2468,343,20,466,124,900,1482,6,4,182.33333333333334
2378,117,15,376,58,510,1189,3,4,191.66666666666666
2965,87,12,95,10,878,153,32,3,188.66666666666666
2342,136,18,95,35,992,942,3,4,194.0
2349,262,26,95,41,1471,702,10,4,205.66666666666666
2418,350,17,85,15,1380,433,10,4,185.0
2423,346,20,42,8,1320,384,10,4,181.0
2469,345,16,180,31,1050,242,6,4,188.0
2472,352,17,210,34,1020,240,6,4,184.0
2466,20,15,67,16,841,300,6,4,182.0
2428,350,21,182,40,607,1302,10,4,177.66666666666666
2435,340,23,201,56,618,1307,10,4,177.66666666666666
2476,320,17,192,4,616,1357,10,4,193.66666666666666
2392,35,13,0,0,497,1350,6,4,185.0
2397,335,12,42,13,541,1355,11,4,195.66666666666666
2419,80,20,484,86,661,1316,10,4,173.33333333333334
3212,76,21,330,107,1260,2408,29,1,170.66666666666666
2307,146,25,0,0,1080,1027,3,4,189.0
2298,162,19,0,0,1110,1055,3,4,201.33333333333334
2296,187,17,0,0,1170,997,17,4,209.33333333333334
2302,198,21,30,6,1200,968,3,4,210.33333333333334
2308,194,22,42,12,1230,940,3,4,208.66666666666666
2311,177,20,42,13,1260,911,3,4,205.66666666666666
2301,93,9,0,0,1320,854,3,4,194.66666666666666
2457,321,17,67,19,1172,309,10,4,193.0
2431,89,9,30,-2,421,1337,6,4,193.66666666666666
2422,117,6,30,-4,421,1328,6,4,200.33333333333334
2410,71,10,0,0,446,1320,6,4,191.0
2401,16,16,30,3,470,1320,11,4,180.33333333333334
2422,257,11,228,49,661,1361,10,4,210.66666666666666
2469,310,18,400,120,808,1415,6,4,196.33333333333334
2472,56,18,552,131,812,1448,6,4,174.0
3114,106,23,242,83,2737,3065,29,1,176.0
3087,127,25,192,57,2694,3062,29,1,179.66666666666666
2306,135,21,30,0,1050,994,3,4,189.66666666666666
2295,185,8,30,0,1230,949,17,4,208.66666666666666
2298,183,12,30,0,1260,920,17,4,209.0
2298,174,9,0,0,1290,892,17,4,207.66666666666666
2302,312,7,0,0,1350,836,17,4,203.0
2312,262,21,30,4,1396,780,10,4,208.66666666666666
2418,291,19,190,30,1473,541,10,4,202.33333333333334
2460,339,20,67,29,1203,350,10,4,183.66666666666666
2485,129,6,108,13,531,1398,6,4,201.66666666666666
2460,133,10,60,8,443,1348,6,4,200.0
2457,126,11,60,5,430,1339,6,4,198.33333333333334
2438,87,9,30,4,400,1318,6,4,194.0
2427,41,10,0,0,390,1302,6,4,190.0
2414,43,8,0,0,400,1293,6,4,193.0
2410,9,16,30,0,430,1290,11,4,182.0
2464,290,20,379,103,767,1376,6,4,201.66666666666666
2485,100,11,552,141,845,1449,6,4,193.0
2446,76,21,469,105,726,1401,10,4,170.66666666666666
2356,30,23,201,36,371,1165,10,4,165.66666666666666
2284,43,19,0,0,120,1036,14,4,171.66666666666666
3046,357,5,454,6,3300,934,32,3,199.66666666666666
2307,337,17,0,0,1342,847,17,4,189.0
2308,338,16,0,0,1355,819,17,4,189.66666666666666
2380,262,25,108,39,1465,633,10,4,206.66666666666666
2476,351,18,212,-4,582,1412,10,4,182.66666666666666
2448,120,8,30,4,390,1302,6,4,200.0
2439,34,9,0,0,371,1289,6,4,192.66666666666666
2416,1,15,150,32,509,1273,11,4,185.33333333333334
2447,72,18,446,106,730,1421,10,4,176.0
2375,23,17,242,43,437,1224,10,4,178.66666666666666
2980,330,8,134,20,930,127,32,3,200.33333333333334
3129,210,15,384,58,283,666,32,3,212.66666666666666
2301,122,3,0,0,1022,960,17,4,203.0
2311,28,25,30,5,1221,969,10,4,158.66666666666666
2494,341,16,170,56,1120,371,10,4,188.66666666666666
2502,353,17,201,52,912,379,6,4,185.0
2356,96,15,170,21,446,700,2,4,187.0
2460,88,13,30,8,408,1300,6,4,188.0
2452,91,10,0,0,391,1290,6,4,193.0
2447,79,5,0,0,376,1282,6,4,198.66666666666666
2447,13,5,0,0,362,1273,6,4,198.33333333333334
2448,10,13,30,9,335,1253,11,4,187.66666666666666
2434,37,10,60,4,331,1239,11,4,190.66666666666666
2426,5,19,150,34,467,1239,11,4,177.33333333333334
2425,5,20,170,34,488,1243,11,4,175.66666666666666
2476,169,2,531,120,875,1382,6,4,205.33333333333334
2476,69,12,488,132,824,1410,6,4,188.0
2427,49,21,366,91,648,1380,10,4,167.66666666666666
2389,38,14,283,59,503,1284,10,4,182.33333333333334
2310,95,14,30,11,190,1115,10,4,188.0
2303,77,13,0,0,162,1103,14,4,186.66666666666666
3272,341,21,297,51,2112,3124,39,1,180.66666666666666
2986,56,11,300,47,534,2118,32,3,188.66666666666666
2314,138,24,42,11,934,870,3,4,186.66666666666666
2327,320,30,42,22,1075,962,10,4,175.33333333333334
2378,270,31,67,25,1416,666,10,4,198.66666666666666
2466,312,16,175,35,1362,511,10,4,197.33333333333334
2503,351,18,192,72,1124,400,10,4,183.66666666666666
2510,355,15,258,72,1036,390,6,4,186.33333333333334
2460,63,12,0,0,384,1271,6,4,187.66666666666666
2452,20,12,60,8,306,1224,11,4,187.0
2438,352,11,90,8,306,1206,11,4,193.33333333333334
2426,67,17,324,90,626,1383,10,4,179.0
2401,85,13,283,68,541,1326,10,4,187.33333333333334
2307,87,10,0,0,201,1142,14,4,192.33333333333334
3101,313,9,150,-1,2388,2984,22,1,202.0
3034,49,4,360,11,2912,1332,32,3,198.66666666666666
3134,112,18,339,80,437,607,32,3,185.0
2323,35,22,0,0,466,391,17,4,166.33333333333334
2317,322,28,30,18,1008,930,10,4,177.33333333333334
2356,341,24,67,30,1291,834,10,4,175.33333333333334
2397,269,31,85,25,1410,661,10,4,198.33333333333334
2415,270,29,108,43,1429,638,10,4,200.33333333333334
2504,330,14,182,73,1218,457,6,4,194.33333333333334
2517,7,17,283,67,983,424,6,4,181.66666666666666
2470,66,8,0,0,404,1265,6,4,193.66666666666666
2460,353,15,60,8,309,1216,11,4,187.66666666666666
2452,333,19,120,25,295,1172,10,4,187.66666666666666
2416,118,19,283,80,607,1387,1,4,186.33333333333334
2397,111,11,256,61,552,1350,1,4,195.0
2314,99,11,0,0,242,1182,1,4,193.33333333333334
3237,120,36,351,41,3127,2965,39,1,154.66666666666666
2908,229,5,0,0,2353,277,23,3,208.66666666666666
3100,120,10,216,48,437,633,24,3,198.0
2316,33,14,0,0,532,454,17,4,182.66666666666666
2305,131,11,0,0,890,842,3,4,199.33333333333334
2304,330,9,0,0,916,872,17,4,199.33333333333334
2512,321,13,218,81,1194,474,6,4,197.66666666666666
2440,101,28,272,74,730,558,1,4,163.0
2378,93,16,190,29,582,658,1,4,184.33333333333334
2356,100,13,127,12,495,726,2,4,190.66666666666666
2476,85,3,0,0,433,1261,6,4,201.33333333333334
2474,6,15,60,6,319,1205,11,4,184.33333333333334
2465,343,17,150,38,283,1140,10,4,186.33333333333334
2466,0,18,153,42,300,1140,10,4,180.0
2451,16,17,212,39,384,1146,10,4,179.0
2454,32,16,258,56,458,1159,10,4,180.0
2451,12,18,319,67,537,1179,10,4,179.0
2446,19,19,339,62,564,1187,10,4,176.0
2444,347,16,382,58,618,1205,10,4,187.33333333333334
2450,313,10,426,77,674,1226,10,4,201.66666666666666
2427,135,20,297,86,674,1434,1,4,191.33333333333334
2367,131,20,134,35,418,1291,1,4,189.66666666666666
2320,74,18,0,0,283,1222,1,4,177.66666666666666
2311,53,10,0,0,258,1209,14,4,190.66666666666666
3047,74,12,120,5,706,1934,29,1,188.33333333333334
2913,120,13,190,19,792,2489,32,3,195.0
2861,143,9,30,-3,1050,2400,17,3,202.33333333333334
2305,137,9,0,0,849,815,17,4,201.66666666666666
2335,328,31,42,24,953,871,10,4,168.0
2381,287,22,30,9,1345,722,10,4,200.66666666666666
2463,261,19,127,52,1406,600,10,4,209.33333333333334
2400,94,20,192,34,648,638,1,4,176.66666666666666
2481,59,8,0,0,443,1248,6,4,193.33333333333334
2479,2,7,0,0,417,1234,6,4,196.66666666666666
2459,315,14,180,20,228,1114,10,4,198.33333333333334
2464,225,11,458,108,836,1276,6,4,212.0
2470,203,6,433,114,864,1291,6,4,209.0
2326,57,16,0,0,300,1249,14,4,178.0
2938,72,32,42,-8,430,1678,29,1,144.0
2910,356,8,42,2,2308,342,23,3,196.66666666666666
3124,266,12,408,70,470,914,32,3,209.66666666666666
2351,46,24,42,23,524,437,10,4,160.0
2332,46,20,30,9,1140,874,10,4,170.33333333333334
2343,253,20,42,10,1183,902,10,4,211.0
2384,20,22,30,12,1284,787,10,4,169.0
2530,315,15,285,99,1179,524,6,4,198.0
2468,354,11,342,70,485,1113,10,4,192.66666666666666
2464,357,14,382,73,541,1129,10,4,187.66666666666666
2465,132,13,391,109,864,1282,6,4,197.66666666666666
2349,129,20,108,19,443,1343,1,4,189.66666666666666
2332,90,9,0,0,319,1276,14,4,194.33333333333334
2322,356,6,60,2,277,1254,10,4,198.66666666666666
3302,100,24,323,104,1723,2914,39,1,172.33333333333334
2304,132,6,0,0,767,765,17,4,202.33333333333334
2472,241,24,150,52,1361,618,10,4,211.0
2518,277,20,242,91,1245,569,10,4,205.33333333333334
2529,287,17,268,102,1216,560,6,4,204.0
2459,280,4,485,103,759,1195,6,4,206.0
2460,196,6,430,104,816,1224,6,4,208.66666666666666
2460,174,12,402,104,845,1240,6,4,207.66666666666666
2416,125,15,255,60,731,1345,1,4,193.66666666666666
2411,126,17,234,67,702,1364,1,4,191.66666666666666
2401,131,18,212,57,674,1383,1,4,192.66666666666666
2368,121,20,124,32,537,1415,1,4,186.0
2331,135,3,0,0,361,1316,14,4,203.66666666666666
2327,347,8,67,1,300,1282,10,4,197.33333333333334
3226,121,19,242,64,1549,2751,29,1,187.33333333333334
2313,258,10,0,0,600,598,17,4,210.33333333333334
2351,246,21,30,3,1165,872,10,4,211.66666666666666
2433,225,24,60,22,1379,691,10,4,212.0
2544,288,13,313,117,1165,577,6,4,205.66666666666666
2552,292,14,342,125,1136,573,6,4,204.66666666666666
2559,309,10,371,128,1106,571,6,4,202.33333333333334
2469,90,28,255,71,816,631,1,4,159.33333333333334
2366,78,14,67,0,591,765,2,4,185.33333333333334
2353,70,7,30,4,510,828,2,4,195.33333333333334
2349,62,8,0,0,484,850,2,4,193.33333333333334
2455,34,3,503,99,721,1154,6,4,200.0
2457,198,2,474,101,750,1168,6,4,205.33333333333334
2384,126,14,150,43,631,1401,1,4,194.66666666666666
2370,128,20,108,29,577,1442,1,4,188.66666666666666
2352,121,18,85,16,525,1425,1,4,188.0
2330,76,2,0,0,402,1356,14,4,202.33333333333334
2328,8,3,0,0,376,1343,14,4,200.66666666666666
3093,315,31,234,63,2689,2770,24,1,177.0
2318,306,13,0,0,582,607,17,4,201.0
2309,103,9,0,0,685,721,17,4,195.33333333333334
2321,319,29,30,15,738,779,10,4,177.0
2385,8,12,175,80,953,751,10,4,189.66666666666666
2413,2,21,30,11,1294,768,10,4,173.33333333333334
2485,252,26,162,58,1318,646,10,4,208.0
2538,261,17,277,111,1201,612,6,4,210.33333333333334
2546,269,14,306,119,1172,607,6,4,209.0
2515,92,25,268,72,911,626,1,4,165.0
2359,57,8,30,3,551,828,2,4,193.66666666666666
2356,50,7,0,0,525,849,2,4,194.33333333333334
2480,13,9,469,82,541,1053,6,4,194.0
2456,111,4,466,100,742,1142,6,4,201.66666666666666
2339,83,4,30,6,443,1409,1,4,200.33333333333334
2333,70,7,0,0,417,1396,14,4,195.33333333333334
2336,1,9,42,8,335,1359,10,4,194.33333333333334
3109,132,14,242,55,641,815,32,3,196.66666666666666
2952,161,14,480,114,725,2167,33,3,204.33333333333334
2362,81,21,95,41,446,484,10,4,171.0
2326,281,13,30,10,566,618,3,4,207.0
2314,121,15,0,0,644,702,17,4,192.66666666666666
2390,0,12,201,83,942,721,10,4,191.0
2388,19,21,108,52,1020,750,10,4,169.33333333333334
2429,8,22,30,16,1273,792,10,4,170.66666666666666
2471,83,24,201,55,836,685,1,4,164.66666666666666
2481,50,13,531,89,589,1048,6,4,185.33333333333334
2452,99,10,430,96,765,1132,2,4,194.66666666666666
2439,128,8,371,83,824,1165,2,4,200.33333333333334
2422,110,15,256,66,800,1237,2,4,189.66666666666666
2398,77,12,150,42,684,1316,2,4,188.0
2373,108,20,85,29,598,1379,1,4,182.33333333333334
2338,61,2,0,0,430,1436,14,4,201.33333333333334
2335,41,5,0,0,402,1423,14,4,197.33333333333334
2337,13,4,134,5,242,1357,10,4,199.33333333333334
2954,155,17,450,116,713,2096,33,3,201.0
2941,143,7,459,103,808,2290,33,3,203.33333333333334
2365,78,23,90,44,426,499,10,4,166.33333333333334
2314,214,7,0,0,525,604,17,4,210.0
2345,307,31,67,36,711,721,10,4,180.0
2378,321,20,127,71,792,700,10,4,190.0
2396,3,17,216,73,942,696,10,4,182.33333333333334
2401,353,19,170,65,966,706,10,4,181.66666666666666
2369,17,28,30,14,1092,793,10,4,154.0
2403,248,32,67,24,1189,872,10,4,204.66666666666666
2440,356,15,42,16,1252,816,10,4,187.0
2374,65,14,0,0,633,834,2,4,184.0
2368,58,13,0,0,607,853,2,4,184.33333333333334
2491,45,11,516,81,524,997,6,4,188.33333333333334
2484,82,9,553,86,582,1020,6,4,194.0
2419,120,14,247,63,794,1214,2,4,193.33333333333334
2409,103,9,190,53,735,1253,2,4,195.33333333333334
2402,96,11,162,46,706,1273,2,4,192.33333333333334
2397,102,12,134,41,677,1294,1,4,191.66666666666666
2378,108,20,85,22,618,1337,1,4,181.66666666666666
2340,32,7,0,0,474,1448,1,4,195.0
2338,11,7,0,0,446,1471,14,4,196.0
3170,138,14,60,8,1397,2624,29,1,198.33333333333334
3037,109,19,85,27,778,2028,29,1,184.0
2941,173,8,421,103,805,2245,33,3,207.0
2315,92,19,0,0,484,592,17,4,178.33333333333334
2318,207,10,30,4,537,644,17,4,211.0
2328,313,30,42,19,644,713,10,4,178.33333333333334
2398,333,15,192,94,836,663,10,4,192.66666666666666
2403,341,14,234,99,882,660,10,4,192.33333333333334
2406,17,28,95,56,1015,725,10,4,155.66666666666666
2557,184,10,335,88,1110,690,6,4,209.0
2495,359,15,492,76,430,940,6,4,186.66666666666666
2485,89,12,558,75,547,981,6,4,190.33333333333334
2480,96,11,571,124,607,1006,6,4,192.33333333333334
2394,125,16,124,38,671,1273,1,4,192.0
3269,63,24,190,31,3692,2852,39,1,162.0
3175,91,14,454,104,376,830,32,3,187.66666666666666
3066,124,19,120,12,698,870,24,3,188.0
2930,186,14,390,92,792,2175,33,3,209.33333333333334
2839,43,11,108,15,834,2501,11,3,189.0
2314,2,5,0,0,524,659,17,4,198.66666666666666
2342,314,32,67,26,631,685,10,4,174.33333333333334
2395,325,20,170,86,769,641,10,4,188.33333333333334
2420,12,28,124,65,990,698,10,4,156.33333333333334
2416,18,30,108,61,1008,711,10,4,149.33333333333334
3036,178,5,134,-8,3093,1276,32,3,207.0
3206,152,11,443,74,319,937,32,3,203.33333333333334
2981,162,20,319,76,750,1842,33,3,201.0
2923,201,13,360,85,819,2188,33,3,211.33333333333334
2887,90,6,446,8,1020,2574,32,3,198.0
2432,357,20,234,89,886,618,10,4,177.33333333333334
2436,9,29,150,81,966,671,10,4,155.0
2432,71,25,60,-10,808,832,1,4,160.66666666666666
2398,58,19,0,0,732,875,1,4,173.0
2391,62,16,0,0,708,886,1,4,179.33333333333334
3387,63,1,335,105,2148,2790,40,1,203.0
3141,124,16,351,70,484,708,32,3,192.66666666666666
3118,113,14,268,47,481,659,32,3,192.66666666666666
2915,179,16,330,77,836,2173,33,3,208.0
2707,28,5,240,8,30,708,17,3,198.66666666666666
2701,100,4,120,2,85,785,11,3,201.0
2693,114,5,30,0,60,850,11,3,201.33333333333334
2434,340,20,319,98,819,573,10,4,183.66666666666666
2454,350,26,190,99,924,631,10,4,169.0
2439,33,25,90,64,999,691,10,4,158.66666666666666
2407,53,22,0,0,750,900,1,4,165.66666666666666
2977,96,7,362,37,1978,745,32,3,196.66666666666666
3030,108,5,95,7,3043,1356,32,3,201.0
3050,65,15,67,1,552,540,31,3,182.33333333333334
2906,170,18,300,68,854,2160,33,3,205.0
2881,33,8,446,23,1132,2707,32,3,193.33333333333334
2710,24,6,272,11,30,716,17,3,197.0
2708,34,5,212,9,67,750,17,3,197.33333333333334
2447,53,23,95,57,977,666,10,4,164.33333333333334
2414,274,25,30,16,1084,764,10,4,203.0
2431,269,26,60,33,1106,785,10,4,203.66666666666666
2507,66,23,95,38,967,837,10,4,165.66666666666666
2404,50,21,42,-2,745,864,10,4,167.33333333333334
3338,9,24,134,45,2542,2644,39,1,166.0
3190,115,9,492,58,382,882,31,3,198.33333333333334
2899,188,16,270,61,892,2201,33,3,209.66666666666666
2696,55,8,85,5,120,870,11,3,193.33333333333334
2379,267,24,42,8,589,577,10,4,206.0
2458,60,23,0,0,882,902,1,4,165.0
3076,123,18,134,21,3294,2520,29,1,189.66666666666666
2844,66,21,108,49,127,1237,29,1,168.33333333333334
2978,128,16,127,-1,883,1464,33,3,193.66666666666666
2929,159,15,285,59,872,2007,33,3,203.33333333333334
2718,24,8,285,19,85,767,17,3,193.66666666666666
2716,26,8,256,17,95,782,11,3,193.33333333333334
2713,32,8,201,14,127,816,11,3,194.66666666666666
2704,47,9,127,13,153,872,11,3,191.33333333333334
2400,32,31,85,53,408,658,10,4,143.66666666666666
2379,17,32,30,20,495,600,10,4,144.0
2473,2,20,285,45,799,513,10,4,175.66666666666666
2486,31,15,175,58,872,566,10,4,181.66666666666666
2410,45,10,0,0,1022,700,10,4,190.66666666666666
3157,307,27,120,35,2971,2467,24,1,187.33333333333334
3027,25,11,324,55,2271,2144,32,3,189.33333333333334
2884,157,14,210,46,940,2203,33,3,203.33333333333334
2731,26,7,495,32,30,713,11,3,195.33333333333334
2724,18,7,351,25,67,765,17,3,196.33333333333334
2723,21,6,323,24,85,778,11,3,197.0
2414,30,25,108,67,400,636,6,4,160.33333333333334
2441,312,20,180,63,655,459,10,4,193.0
2448,50,25,85,0,850,895,10,4,158.66666666666666
3078,116,8,201,36,641,430,31,3,198.66666666666666
2729,27,7,390,30,90,780,11,3,195.66666666666666
2727,39,6,362,28,95,792,11,3,196.33333333333334
2722,58,4,283,23,150,834,11,3,198.66666666666666
2704,76,7,150,15,210,937,11,3,195.66666666666666
2697,82,7,108,10,210,977,17,3,196.66666666666666
2688,77,4,60,4,127,1062,11,3,199.33333333333334
2406,41,21,67,31,470,553,10,4,168.66666666666666
2449,300,20,180,71,626,430,10,4,197.66666666666666
2496,327,22,360,118,700,430,10,4,185.66666666666666
2538,268,7,212,37,1127,930,6,4,208.0
3035,52,3,175,13,1065,752,32,3,201.0
3026,72,12,150,20,3013,1477,32,3,188.33333333333334
3022,37,12,309,95,2144,2305,32,3,187.0
3020,158,15,134,-5,920,716,24,3,202.66666666666666
2874,6,17,711,144,210,1290,10,3,181.33333333333334
2755,43,11,499,34,90,750,17,3,188.33333333333334
2745,38,9,553,29,90,755,11,3,192.33333333333334
2736,30,7,485,37,90,779,11,3,195.66666666666666
2729,57,7,376,30,124,819,11,3,195.66666666666666
2723,90,4,300,28,170,860,11,3,200.66666666666666
2709,62,7,192,20,242,942,11,3,195.33333333333334
2415,51,18,85,38,457,531,10,4,174.66666666666666
2452,284,20,180,74,598,400,10,4,203.66666666666666
2420,57,23,201,-11,805,765,10,4,162.66666666666666
3116,130,22,30,-6,3544,2452,29,1,186.66666666666666
2943,67,23,324,143,342,1368,29,1,165.33333333333334
2964,274,12,0,0,2644,779,33,3,208.33333333333334
2771,49,9,474,37,120,785,17,3,191.0
2748,36,8,576,29,120,785,11,3,192.66666666666666
2731,60,8,391,32,153,847,11,3,194.0
2720,72,5,297,29,212,900,11,3,199.0
2432,260,19,120,54,552,390,10,4,210.0
3385,324,31,255,31,2816,2416,39,1,169.66666666666666
3316,40,15,134,34,1956,2659,39,1,181.0
3020,57,23,450,21,537,1565,29,1,164.0
3030,306,10,108,11,1296,924,24,3,202.66666666666666
2988,135,8,272,52,2073,859,32,3,201.66666666666666
2860,178,19,108,35,1115,2419,33,3,206.33333333333334
2777,62,10,484,43,150,819,17,3,189.33333333333334
2771,43,9,516,37,150,812,11,3,191.66666666666666
2750,22,10,591,51,150,819,11,3,190.66666666666666
2722,48,6,319,31,234,927,11,3,196.33333333333334
2719,61,6,297,30,255,942,11,3,196.66666666666666
2702,67,9,190,18,277,1045,11,3,192.0
2397,17,8,0,0,474,426,10,4,194.33333333333334
2489,257,23,255,74,577,330,10,4,208.66666666666666
3383,307,39,192,65,2881,2372,39,1,166.0
2955,325,13,90,12,2492,812,31,3,196.66666666666666
3024,340,10,180,25,2889,1652,32,3,196.33333333333334
2970,79,15,67,8,1950,2561,23,3,183.0
2859,310,16,738,127,150,1590,10,3,198.33333333333334
2777,36,9,525,43,180,845,11,3,192.33333333333334
2767,40,11,576,33,180,840,11,3,188.33333333333334
2756,17,13,604,57,180,849,11,3,186.33333333333334
2423,55,26,297,60,698,693,10,4,155.0
3065,335,7,30,4,3378,2296,23,1,200.33333333333334
3092,11,24,42,8,1155,2207,29,1,164.66666666666666
3024,246,8,42,4,1261,957,32,3,210.0
3057,328,9,295,68,2581,1959,32,3,199.66666666666666
3025,90,14,247,56,2156,2374,32,3,186.0
2802,97,12,120,14,446,2581,11,3,191.33333333333334
2768,30,11,618,34,210,871,11,3,188.0
2711,67,7,268,27,360,1057,11,3,195.33333333333334
2708,73,7,256,24,339,1074,11,3,195.33333333333334
2436,275,19,124,21,474,295,10,4,206.0
3448,320,35,212,55,2810,2337,40,1,164.66666666666666
2880,222,19,190,71,1317,2698,4,3,213.33333333333334
2886,166,15,270,103,1027,2965,11,3,205.0
2878,147,16,272,95,938,2974,11,3,199.66666666666666
2783,33,8,592,49,240,902,11,3,193.33333333333334
2515,269,18,283,82,553,256,10,4,208.33333333333334
2526,279,19,309,93,573,268,6,4,205.66666666666666
3089,152,14,95,17,3675,2316,29,1,202.33333333333334
3269,113,13,576,133,518,1012,39,3,192.66666666666666
3035,150,11,0,0,853,218,23,3,203.0
